,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,7.790173295224503e-26,1.0962234378562576e-24,2.5163087425204176e-24,2.5887853836033636e-23,5.684655902405181e-23,4.6491672047197e-22,9.774176137447289e-22,6.6163550545107364e-21,1.3319919380705878e-20,7.672625080967466e-20,1.4793178596252012e-19,7.398907612886034e-19,1.366320360242479e-18,6.025178285814081e-18,1.0656881784649051e-17,4.193381848025665e-17,7.103662378502255e-17,2.518320666829121e-16,4.0854724992406386e-16,1.31517719661003e-15,2.0429437118124964e-15,6.011110877311928e-15,8.938501906024877e-15,2.4172180968865583e-14,3.439747874269565e-14,8.589624030690259e-14,1.1692536862915412e-13,2.707163069001305e-13,3.523273721692337e-13,7.590057727165132e-13,9.438045326506507e-13,1.8976982430846647e-12,2.252590676673335e-12,4.239214717912349e-12,4.79763123218753e-12,8.47220933317393e-12,9.125511088896323e-12,1.5158032370396577e-11,1.5497234427439818e-11,2.4271850727247455e-11,2.3452189774639697e-11,3.472410053486018e-11,3.147492452220754e-11,4.419800741857419e-11,3.707658912050746e-11,4.9606347021423605e-11,3.747314757579523e-11,4.816538993433114e-11,3.0704760739991604e-11,3.8660130029472803e-11,1.6700313147755878e-11,2.224500525283418e-11,-2.2945544722970968e-12,2.2945544722970936e-12,-2.224500525283419e-11,-1.6700313147755878e-11,-3.8660130029472803e-11,-3.0704760739991604e-11,-4.816538993433114e-11,-3.7473147575795237e-11,-4.960634702142359e-11,-3.7076589120507463e-11,-4.4198007418574205e-11,-3.147492452220754e-11,-3.4724100534860185e-11,-2.3452189774639694e-11,-2.4271850727247455e-11,-1.549723442743981e-11,-1.5158032370396577e-11,-9.125511088896323e-12,-8.47220933317393e-12,-4.797631232187529e-12,-4.239214717912349e-12,-2.2525906766733353e-12,-1.8976982430846647e-12,-9.438045326506505e-13,-7.590057727165132e-13,-3.523273721692337e-13,-2.707163069001305e-13,-1.1692536862915412e-13,-8.589624030690257e-14,-3.4397478742695664e-14,-2.4172180968865577e-14,-8.93850190602488e-15,-6.011110877311927e-15,-2.0429437118124964e-15,-1.3151771966100297e-15,-4.0854724992406386e-16,-2.518320666829122e-16,-7.103662378502255e-17,-4.193381848025086e-17,-1.0656881784633847e-17,-6.0251782851782825e-18,-1.3663203586489488e-18,-7.398907281305007e-19,-1.4793170646725724e-19,-7.672515395043678e-20,-1.331740305675958e-20,-6.5904671948744434e-21,-9.20571054720677e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,1.1187776893419033e-24,2.712883746947962e-24,2.852834204522591e-23,6.433807011818599e-23,5.373572745070034e-22,1.1601169989031767e-21,8.017255789804367e-21,1.657369675179945e-20,9.743613587644628e-20,1.9290501369641365e-19,9.844454705851827e-19,1.8667907750335936e-18,8.397476071500204e-18,1.525314695285674e-17,6.121141033331813e-17,1.0650029144351681e-16,3.8497232409093395e-16,6.415501804740887e-16,2.105433739517547e-15,3.360261276887884e-15,1.0077808857153869e-14,1.5400907802082807e-14,4.2444722085749195e-14,6.209246385397006e-14,1.5799696155754833e-13,2.2118135179313415e-13,5.217412938049727e-13,6.986264290202428e-13,1.5331463810322212e-12,1.9625117033770574e-12,4.019133250499069e-12,4.9144002564926185e-12,9.41833080065571e-12,1.0989463954875805e-11,1.9758401905490036e-11,2.1968053375355983e-11,3.714074535572027e-11,3.9264319430849734e-11,6.256334871582404e-11,6.26788934599844e-11,9.434433437237724e-11,8.907687757958537e-11,1.269929644237148e-10,1.1190210851581769e-10,1.5162548216231754e-10,1.2239267824221995e-10,1.58476755456179e-10,1.1257581431828337e-10,1.408166538207845e-10,7.895082089071421e-11,9.84447113068567e-11,2.50268896826535e-11,3.881807149317215e-11,-3.881807149317216e-11,-2.5026889682653513e-11,-9.844471130685672e-11,-7.895082089071421e-11,-1.408166538207845e-10,-1.1257581431828338e-10,-1.58476755456179e-10,-1.2239267824221995e-10,-1.5162548216231756e-10,-1.119021085158177e-10,-1.2699296442371481e-10,-8.907687757958537e-11,-9.434433437237726e-11,-6.267889345998438e-11,-6.256334871582404e-11,-3.926431943084972e-11,-3.7140745355720264e-11,-2.1968053375355983e-11,-1.9758401905490036e-11,-1.0989463954875803e-11,-9.418330800655708e-12,-4.914400256492619e-12,-4.019133250499071e-12,-1.9625117033770574e-12,-1.533146381032221e-12,-6.986264290202429e-13,-5.217412938049726e-13,-2.2118135179313415e-13,-1.579969615575483e-13,-6.209246385397007e-14,-4.244472208574918e-14,-1.540090780208281e-14,-1.0077808857153867e-14,-3.360261276887884e-15,-2.105433739517547e-15,-6.415501804740887e-16,-3.849723240909287e-16,-1.0650029144350266e-16,-6.121141033271277e-17,-1.5253146951297655e-17,-8.397476038332142e-18,-1.866790693341194e-18,-9.844443186394288e-19,-1.9290229925358264e-19,-9.740760692902625e-20,-1.6509358667528634e-20,-7.479898510044298e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,2.6606754946388225e-24,2.916356693347928e-23,6.762782495593594e-23,5.72788433829368e-22,1.2701585442841624e-21,8.902873720626845e-21,1.8903546279061628e-20,1.1273729176023353e-19,2.292565061802173e-19,1.187030763815886e-18,2.3121952799438402e-18,1.0554376094195313e-17,1.9694590499662148e-17,8.021078108711219e-17,1.4338964086807776e-16,5.260937677948797e-16,9.009739669808382e-16,3.001511904640738e-15,4.9240237161622185e-15,1.4992602407272032e-14,2.355737593494429e-14,6.591918484501713e-14,9.918361317269444e-14,2.562698688938744e-13,3.691289654120954e-13,8.842368537686732e-13,1.2188099478979968e-12,2.7163686385474935e-12,3.581192026351086e-12,7.448759806079668e-12,9.386706174166209e-12,1.8271005306821833e-11,2.1989072320262455e-11,4.015298655722654e-11,4.609557766357895e-11,7.914283666935895e-11,8.651692920114782e-11,1.3996517629216714e-10,1.4531785803078773e-10,2.2198320708473518e-10,2.179723707644363e-10,3.1510875995167215e-10,2.9054728873202675e-10,3.985619602268452e-10,3.4061711935105324e-10,4.450276027404496e-10,3.434116489189244e-10,4.3010596540552694e-10,2.8173918242944106e-10,3.433443423153371e-10,1.553018994339368e-10,1.9519089933717974e-10,-1.5668606355687805e-11,1.5668606355687772e-11,-1.9519089933717976e-10,-1.5530189943393682e-10,-3.4334434231533713e-10,-2.817391824294411e-10,-4.3010596540552694e-10,-3.434116489189244e-10,-4.4502760274044965e-10,-3.4061711935105324e-10,-3.9856196022684525e-10,-2.9054728873202675e-10,-3.1510875995167215e-10,-2.179723707644363e-10,-2.2198320708473523e-10,-1.453178580307877e-10,-1.3996517629216716e-10,-8.651692920114779e-11,-7.914283666935895e-11,-4.6095577663578944e-11,-4.015298655722654e-11,-2.198907232026246e-11,-1.827100530682183e-11,-9.386706174166209e-12,-7.448759806079668e-12,-3.5811920263510856e-12,-2.7163686385474935e-12,-1.2188099478979968e-12,-8.842368537686732e-13,-3.6912896541209527e-13,-2.562698688938743e-13,-9.918361317269446e-14,-6.591918484501713e-14,-2.3557375934944293e-14,-1.4992602407272032e-14,-4.9240237161622185e-15,-3.0015119046407336e-15,-9.009739669808254e-16,-5.2609376779433115e-16,-1.4338964086662604e-16,-8.021078105581666e-17,-1.9694590420470402e-17,-1.0554374962322202e-17,-2.3121925400765977e-18,-1.1870015689534148e-18,-2.291888769035433e-19,-1.1216450277783344e-19,-1.7633387722117582e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,2.76200508756864e-23,6.817855269461336e-23,5.859355360007011e-22,1.3344003636797613e-21,9.48212237952707e-21,2.0675592971544845e-20,1.2502069695169028e-19,2.6108320287375786e-19,1.3707916116724332e-18,2.7421894874429476e-18,1.2694334026292903e-17,2.432907364527233e-17,1.0050034978928365e-16,1.8454797599069756e-16,6.868505373321689e-16,1.2084859749648408e-15,4.0843961674331245e-15,6.885424306177919e-15,2.1271404469076997e-14,3.43543054574772e-14,9.75492237086418e-14,1.5091088175902951e-13,3.9571595628223414e-13,5.862589979192033e-13,1.4253801429712032e-12,2.0216531227786656e-12,4.57353160506139e-12,6.207462789247036e-12,1.3106859173251512e-11,1.7014038469131904e-11,3.3621060493980165e-11,4.1710798982474356e-11,7.732612087355506e-11,9.159235638461412e-11,1.596491962021906e-10,1.8029538373099865e-10,2.9607941957683143e-10,3.181311928198463e-10,4.931692177208995e-10,5.025325053144757e-10,7.368512570946101e-10,7.082668589852234e-10,9.84428970023106e-10,8.842710281097953e-10,1.1682229850805824e-09,9.63388441840227e-10,1.2146856615635159e-09,8.852959032440445e-10,1.0737006770656827e-09,6.242432326137652e-10,7.44564831713527e-10,2.0786150533015185e-10,2.8431504581602697e-10,-2.8431504581602707e-10,-2.078615053301519e-10,-7.445648317135271e-10,-6.242432326137654e-10,-1.073700677065683e-09,-8.852959032440445e-10,-1.2146856615635157e-09,-9.63388441840227e-10,-1.1682229850805824e-09,-8.842710281097953e-10,-9.844289700231063e-10,-7.082668589852235e-10,-7.368512570946101e-10,-5.025325053144758e-10,-4.931692177208996e-10,-3.1813119281984624e-10,-2.960794195768315e-10,-1.8029538373099858e-10,-1.5964919620219061e-10,-9.159235638461411e-11,-7.732612087355506e-11,-4.1710798982474356e-11,-3.3621060493980165e-11,-1.7014038469131904e-11,-1.310685917325151e-11,-6.207462789247035e-12,-4.57353160506139e-12,-2.021653122778665e-12,-1.425380142971203e-12,-5.862589979192034e-13,-3.9571595628223414e-13,-1.5091088175902951e-13,-9.754922370864178e-14,-3.435430545747721e-14,-2.1271404469076997e-14,-6.885424306177907e-15,-4.084396167432647e-15,-1.2084859749635418e-15,-6.86850537303794e-16,-1.8454797591693694e-16,-1.0050034872089451e-16,-2.4329070988895437e-17,-1.2694305337852904e-17,-2.742121235129653e-18,-1.3702056477614613e-18,-2.597488012111032e-19,-1.1553857409826042e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,6.371914531359632e-23,5.7515884228497305e-22,1.3470788145040855e-21,9.705664620434993e-21,2.1728633987426202e-20,1.3322823605947541e-19,2.856523388989528e-19,1.5209571077630886e-18,3.1238857987228795e-18,1.4666996005609207e-17,2.886248603242932e-17,1.209362154151686e-16,2.280432236118877e-16,8.609899007874204e-16,1.5558100184525041e-15,5.334801013239853e-15,9.238016396210973e-15,2.895790701946685e-14,4.80515743978754e-14,1.3845883158047628e-13,2.2013597114299323e-13,5.858295248031501e-13,8.922591288085948e-13,2.2018868751812303e-12,3.211806947924375e-12,7.375654159324266e-12,1.0299943528280677e-11,2.20782503573991e-11,2.950354958054291e-11,5.919106948297764e-11,7.564335149888939e-11,1.423797849569888e-10,1.7386185994586242e-10,3.0769217703840497e-10,3.5859945087001545e-10,5.978811665357003e-10,6.639209935844964e-10,1.0447658426466628e-09,1.102614839754826e-09,1.6406107815277022e-09,1.6388869103257793e-09,2.3100224336597495e-09,2.169273926078948e-09,2.9025536208595698e-09,2.5306348916727172e-09,3.223217067887126e-09,2.5451225656330427e-09,3.0995791216084097e-09,2.0911452791102306e-09,2.459316305414273e-09,1.1690761594752957e-09,1.3788753062886367e-09,-7.393038544002764e-11,7.39303854400275e-11,-1.3788753062886367e-09,-1.1690761594752959e-09,-2.459316305414273e-09,-2.0911452791102306e-09,-3.0995791216084097e-09,-2.545122565633043e-09,-3.223217067887126e-09,-2.530634891672717e-09,-2.9025536208595698e-09,-2.1692739260789482e-09,-2.3100224336597495e-09,-1.6388869103257801e-09,-1.6406107815277022e-09,-1.1026148397548262e-09,-1.044765842646663e-09,-6.639209935844963e-10,-5.978811665357004e-10,-3.585994508700154e-10,-3.0769217703840497e-10,-1.7386185994586242e-10,-1.423797849569888e-10,-7.564335149888939e-11,-5.919106948297762e-11,-2.950354958054291e-11,-2.2078250357399094e-11,-1.0299943528280676e-11,-7.375654159324267e-12,-3.211806947924375e-12,-2.20188687518123e-12,-8.922591288085947e-13,-5.858295248031499e-13,-2.2013597114299328e-13,-1.384588315804763e-13,-4.805157439787539e-14,-2.8957907019466445e-14,-9.238016396209855e-15,-5.3348010132151285e-15,-1.5558100183864847e-15,-8.609898998181849e-16,-2.2804322113691266e-16,-1.2093618832030997e-16,-2.886241983830897e-17,-1.4666419877531573e-17,-3.1225386538887165e-18,-1.511251418421268e-18,-2.639237038036756e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,5.198483825190382e-22,1.3047545135220066e-21,9.54761138605464e-21,2.1944081262102872e-20,1.3645277615893732e-19,3.0031765320401444e-19,1.6218283714646972e-18,3.419277133857206e-18,1.6284337366316825e-17,3.2894634026456065e-17,1.3982430027538078e-16,2.7066629838408607e-16,1.0368014234271371e-15,1.923493301565321e-15,6.692352507717616e-15,1.1899803727228092e-14,3.7853061819411515e-14,6.450963364365553e-14,1.8865003885113322e-13,3.081148551998991e-13,8.322591303243418e-13,1.3025276937783174e-12,3.2628900520907738e-12,4.8922854953060414e-12,1.1405614627274267e-11,1.6378736382434952e-11,3.5645732280671196e-11,4.900592066924965e-11,9.983080861677049e-11,1.3132733429796268e-10,2.5101274466374324e-10,3.157392891689355e-10,5.674403786619159e-10,6.818288536533964e-10,1.154400445146272e-09,1.3232423681251067e-09,2.1143747582845983e-09,2.3073523598064712e-09,3.485352167341654e-09,3.609639285243391e-09,5.162997441366548e-09,5.048602897442581e-09,6.849547607172814e-09,6.267519443487501e-09,8.081729250561088e-09,6.804094575750479e-09,8.361462751800993e-09,6.248057195111365e-09,7.353102666028902e-09,4.428992401821747e-09,5.057286659817785e-09,1.541749060544918e-09,1.866195415120869e-09,-1.8661954151208693e-09,-1.541749060544918e-09,-5.057286659817785e-09,-4.428992401821748e-09,-7.353102666028903e-09,-6.248057195111365e-09,-8.361462751800993e-09,-6.804094575750478e-09,-8.081729250561088e-09,-6.2675194434875004e-09,-6.849547607172815e-09,-5.048602897442582e-09,-5.162997441366548e-09,-3.609639285243392e-09,-3.4853521673416542e-09,-2.3073523598064712e-09,-2.1143747582845988e-09,-1.3232423681251067e-09,-1.154400445146272e-09,-6.818288536533964e-10,-5.674403786619159e-10,-3.1573928916893555e-10,-2.510127446637432e-10,-1.3132733429796268e-10,-9.983080861677048e-11,-4.900592066924964e-11,-3.564573228067119e-11,-1.637873638243495e-11,-1.1405614627274264e-11,-4.8922854953060414e-12,-3.262890052090773e-12,-1.3025276937783174e-12,-8.322591303243418e-13,-3.081148551998991e-13,-1.8865003885113292e-13,-6.450963364365461e-14,-3.785306181939081e-14,-1.1899803727171313e-14,-6.692352506872596e-15,-1.923493299349398e-15,-1.0368013988327603e-15,-2.7066623669018133e-16,-1.3982375583262157e-16,-3.289332705601895e-17,-1.6274788909913283e-17,-3.397332995822678e-18,-1.4853755749253076e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,1.1632741696059999e-21,9.007197199527994e-21,2.129543400032009e-20,1.3432281893518692e-19,3.0341149665625193e-19,1.6621184459878242e-18,3.596284449420039e-18,1.7375565174789515e-17,3.602087943001641e-17,1.5534764392987666e-16,3.0862511176470565e-16,1.1995809566821823e-15,2.284186696710736e-15,8.064943430790985e-15,1.4720372537312678e-14,4.75233310400051e-14,8.314855641655309e-14,2.468082281602672e-13,4.1392959848306315e-13,1.134987347634235e-12,1.82447326801953e-12,4.639994605288917e-12,7.147820995094695e-12,1.691960375592388e-11,2.4971910952129316e-11,5.5186377224387515e-11,7.80107092262187e-11,1.613850250544778e-10,2.1839957429908288e-10,4.239549986293872e-10,5.489266757619704e-10,1.0019786669451796e-09,1.2402426652972974e-09,2.1328042585823236e-09,2.5209400026675266e-09,4.091250752535038e-09,4.61023028903931e-09,7.072249706145846e-09,7.578944638945743e-09,1.1006265448035365e-08,1.1173131229730164e-08,1.5383152351348504e-08,1.4696187678891833e-08,1.92125669996895e-08,1.7069450507730286e-08,2.122715564481826e-08,1.7130842544019496e-08,2.0316545674722646e-08,1.4096765333464877e-08,1.602460472121868e-08,7.984491952730982e-09,8.859949792884091e-09,-2.332230760262804e-10,2.332230760262805e-10,-8.859949792884091e-09,-7.984491952730981e-09,-1.6024604721218683e-08,-1.4096765333464879e-08,-2.0316545674722646e-08,-1.71308425440195e-08,-2.1227155644818262e-08,-1.7069450507730283e-08,-1.9212566999689502e-08,-1.469618767889183e-08,-1.5383152351348504e-08,-1.1173131229730164e-08,-1.1006265448035369e-08,-7.578944638945743e-09,-7.072249706145847e-09,-4.61023028903931e-09,-4.091250752535038e-09,-2.5209400026675266e-09,-2.1328042585823236e-09,-1.2402426652972976e-09,-1.0019786669451796e-09,-5.489266757619705e-10,-4.239549986293871e-10,-2.1839957429908286e-10,-1.6138502505447777e-10,-7.801070922621868e-11,-5.5186377224387496e-11,-2.4971910952129316e-11,-1.691960375592388e-11,-7.1478209950946945e-12,-4.639994605288916e-12,-1.82447326801953e-12,-1.1349873476342346e-12,-4.139295984830624e-13,-2.468082281602505e-13,-8.314855641650616e-14,-4.7523331039297146e-14,-1.4720372535406304e-14,-8.064943409336305e-15,-2.2841866414564056e-15,-1.199580462197353e-15,-3.0862389323620573e-16,-1.55338615278002e-16,-3.599958208964915e-17,-1.724124164816266e-17,-3.292872906578661e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,7.773388945877186e-21,1.9815595181933833e-20,1.2706926444753934e-19,2.945765619611315e-19,1.6371884433480776e-18,3.634773186107217e-18,1.7818542605601318e-17,3.7901680880122254e-17,1.6586730243549133e-16,3.381111466819379e-16,1.333682188416038e-15,2.6058215844330736e-15,9.337965910249113e-15,1.7490231877910332e-14,5.731464369199261e-14,1.0291830061084093e-13,3.10116085209708e-13,5.338782105328942e-13,1.4862056545349009e-12,2.4528319158514245e-12,6.33381924009306e-12,1.0020199826058175e-11,2.408553900312699e-11,3.651803660924437e-11,8.195880237701348e-11,1.1906067174707322e-10,2.5016576124407753e-10,3.4806387757587484e-10,6.863031268036393e-10,9.140823287565819e-10,1.6949248272528116e-09,2.1595387999765935e-09,3.77266108398618e-09,4.594006226972902e-09,7.574129634320048e-09,8.803021313835477e-09,1.3718099685913263e-08,1.5187836083508003e-08,2.2402358130807053e-08,2.3554922928127465e-08,3.293000229534785e-08,3.2720612107167007e-08,4.341091398999438e-08,4.04164290942222e-08,5.095215644353071e-08,4.374064086556126e-08,5.247333557439452e-08,4.01458715346419e-08,4.59202284162761e-08,2.8600565746373414e-08,3.132849086437635e-08,1.0353540844057044e-08,1.1158797015119625e-08,-1.1158797015119625e-08,-1.0353540844057043e-08,-3.132849086437635e-08,-2.8600565746373414e-08,-4.592022841627609e-08,-4.0145871534641905e-08,-5.247333557439452e-08,-4.3740640865561256e-08,-5.095215644353071e-08,-4.041642909422219e-08,-4.341091398999438e-08,-3.2720612107167007e-08,-3.293000229534786e-08,-2.3554922928127468e-08,-2.2402358130807062e-08,-1.5187836083508003e-08,-1.3718099685913264e-08,-8.803021313835479e-09,-7.574129634320048e-09,-4.594006226972902e-09,-3.77266108398618e-09,-2.1595387999765935e-09,-1.6949248272528116e-09,-9.140823287565817e-10,-6.863031268036391e-10,-3.480638775758748e-10,-2.501657612440775e-10,-1.1906067174707322e-10,-8.195880237701347e-11,-3.651803660924436e-11,-2.408553900312699e-11,-1.0020199826058172e-11,-6.333819240093058e-12,-2.4528319158514237e-12,-1.486205654534888e-12,-5.338782105328569e-13,-3.1011608520913804e-13,-1.0291830060926519e-13,-5.731464367400803e-14,-1.7490231830359456e-14,-9.337965478640507e-15,-2.6058204927286e-15,-1.3336739834184914e-15,-3.380912835358923e-16,-1.657402151866629e-16,-3.760710274298783e-17,-1.618135360527735e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,1.6862165303471174e-20,1.1520015021083176e-19,2.748019036118953e-19,1.5499181752213962e-18,3.530316865545404e-18,1.7562282578708613e-17,3.8323140759270956e-17,1.7020639158536781e-16,3.559232078280148e-16,1.424959577689736e-15,2.8561518047229944e-15,1.0389246186543034e-14,1.996344554262404e-14,6.641151349190015e-14,1.2235390656799918e-13,3.743096635553955e-13,6.612318472045866e-13,1.8690311938019127e-12,3.1658220663401528e-12,8.301483833106589e-12,1.3481672360302143e-11,3.29109739533132e-11,5.1237389033701465e-11,1.167985755134076e-10,1.7427997917758442e-10,3.7197490299015324e-10,5.318046744050695e-10,1.0652644923336186e-09,1.4586103790179048e-09,2.747829766402006e-09,3.6013416161195382e-09,6.392432589654802e-09,8.012932473941222e-09,1.3423498301820288e-08,1.607552550901266e-08,2.5454271695788466e-08,2.9076790153865155e-08,4.357632442063947e-08,4.736823621222801e-08,6.727195584358599e-08,6.932417389910746e-08,9.340279462686897e-08,9.06751636136459e-08,1.1601899382526177e-07,1.0491399518801543e-07,1.2759149600678544e-07,1.0510340362197745e-07,1.215795750020688e-07,8.662351830049342e-08,9.534967810090152e-08,4.965630597601254e-08,5.1989670471533076e-08,6.864121787632456e-11,-6.864121787631877e-11,-5.198967047153307e-08,-4.965630597601253e-08,-9.534967810090152e-08,-8.662351830049342e-08,-1.2157957500206883e-07,-1.0510340362197745e-07,-1.2759149600678544e-07,-1.0491399518801542e-07,-1.160189938252618e-07,-9.06751636136459e-08,-9.3402794626869e-08,-6.932417389910745e-08,-6.727195584358602e-08,-4.736823621222801e-08,-4.357632442063948e-08,-2.9076790153865155e-08,-2.5454271695788466e-08,-1.607552550901266e-08,-1.3423498301820286e-08,-8.012932473941222e-09,-6.392432589654802e-09,-3.6013416161195382e-09,-2.747829766402006e-09,-1.4586103790179044e-09,-1.0652644923336182e-09,-5.318046744050695e-10,-3.719749029901531e-10,-1.7427997917758442e-10,-1.167985755134076e-10,-5.1237389033701465e-11,-3.291097395331321e-11,-1.348167236030214e-11,-8.30148383310658e-12,-3.1658220663401237e-12,-1.869031193801472e-12,-6.612318472033353e-13,-3.743096635409107e-13,-1.223539065286829e-13,-6.641151312989157e-14,-1.996344460281082e-14,-1.0389239020666507e-14,-2.8561340027444784e-15,-1.4248440155310777e-15,-3.556483666085833e-16,-1.6865645893496694e-16,-3.4792822670948023e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
